"SYMBOL","ENTREZID"
"MIB2","142678"
"MLEC","9761"
"CD52","1043"
"SEMA4C","54910"
"SIGLEC17P","284367"
"LOC100996740","100996740"
"ARHGAP24","83478"
"CASP7","840"
"COA7","65260"
"TXLNA","200081"
"CD44","960"
"STARD10","10809"
"CCNY","219771"
"PITPNC1","26207"
"LOC101927609","101927609"
"RP9P","441212"
"LTBP3","4054"
"TP53TG1","11257"
"KLHDC10","23008"
"ZNF165","7718"
"IFI44","10561"
"FEZ1","9638"
"EGR3","1960"
"CD160","11126"
"OLFM1","10439"
"ZFP36L1","677"
"CXCL1","2919"
"KPNB1","3837"
"C1GALT1C1","29071"
"NFKBID","84807"
"HLA-DPA1","3113"
"STIP1","10963"
"METTL9","51108"
"ABCF2","10061"
"IRF4","3662"
"ZNF365","22891"
"TRIM25","7706"
"GPSM1","26086"
"PSMD1","5707"
"MRPL27","51264"
"FAM223B","286967"
"COLGALT1","79709"
"DERL1","79139"
"RABGEF1","27342"
"CPQ","10404"
"RRBP1","6238"
"PNPT1","87178"
"CD38","952"
"PRRC1","133619"
"VWA5A","4013"
"SLAMF7","57823"
"CAMK2N1","55450"
"CRELD2","79174"
"PDIA6","10130"
"POMZP3","22932"
"MANEA","79694"
"TNK1","8711"
"ELK1","2002"
"PDIA4","9601"
"CYP7A1","1581"
"MTHFD2","10797"
"FAM210B","116151"
"SORBS3","10174"
"CD82","3732"
"DDX52","11056"
"TARDBP","23435"
"ARL4C","10123"
"POLR1A","25885"
"EIF5B","9669"
"GLTP","51228"
"ETNK1","55500"
"VSIG2","23584"
"LARGE-AS1","100506195"
"STARD13","90627"
"RYR2","6262"
"PDE4D","5144"
"D21S2088E","266917"
"MMP28","79148"
