"ID","adj.P.Val","P.Value","t","B","logFC","GB_ACC","SPOT_ID","Gene.Symbol","Gene.Title"
"236191_at",0.00311758904247853,5.70203757197719e-08,7.06773505807153,8.1350840938902,2.39655410625616,"T81422","","",""
"222129_at",0.0126853840460491,8.19212536762759e-07,-6.1232716238514,5.75904307160909,-0.978880366216204,"AK026155","","FAM134A","family with sequence similarity 134, member A"
"228261_at",0.0126853840460491,8.72379064710224e-07,-6.10127918283069,5.62829124246948,-1.00217422751899,"BE045549","","MIB2","mindbomb E3 ubiquitin protein ligase 2"
"200616_s_at",0.0126853840460491,9.68706766711356e-07,6.06466987288992,5.60863162534863,1.51127109696299,"BC000371","","MLEC","malectin"
"204661_at",0.0126853840460491,1.39208604071869e-06,-5.93813601842238,5.3117929810114,-0.986858513686634,"NM_001803","","CD52","CD52 molecule"
"46665_at",0.0126853840460491,1.36818317903825e-06,-5.94417316884778,5.30022634644209,-1.27366652368401,"AI949392","","SEMA4C","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
"232686_at",0.0198348809985557,2.91348600019278e-06,-5.68123242796583,4.55473026924571,-1.43147393773194,"AI801574","","SIGLEC17P","sialic acid binding Ig-like lectin 17, pseudogene"
"229872_s_at",0.0198348809985557,3.6277788749073e-06,-5.6051238837959,4.40767055717291,-1.17678285468449,"AA532655","","LOC100996740","uncharacterized LOC100996740"
"230802_at",0.0198348809985557,3.4857055301762e-06,-5.61898611605677,4.38637370612909,-1.66717743628445,"AI761947","","ARHGAP24","Rho GTPase activating protein 24"
"207181_s_at",0.0205402355324942,4.13246622510171e-06,5.55993951236069,4.27043997163853,0.888733698571288,"NM_001227","","CASP7","caspase 7, apoptosis-related cysteine peptidase"
"226905_at",0.025920461276264,6.2115338422216e-06,-5.41866424891201,3.90217259924362,-0.855251715005695,"BG036514","","FAM101B","family with sequence similarity 101, member B"
"1559394_a_at",0.0139215364731246,1.78236406606076e-06,-5.85205880003181,3.86444840104707,-2.60288314000846,"AA284248","","",""
"219420_s_at",0.025920461276264,8.05546237070681e-06,5.32860081391877,3.61376382475115,0.915620219360207,"NM_023077","","COA7","cytochrome c oxidase assembly factor 7 (putative)"
"212300_at",0.025920461276264,8.23309031729904e-06,5.32104467168296,3.60794075172117,0.92264419071173,"AL049795","","TXLNA","taxilin alpha"
"222631_at",0.025920461276264,8.90663944136986e-06,5.29380284959301,3.55908393523866,0.960439138012418,"AI862887","","PI4K2B /// SEPSECS-AS1","phosphatidylinositol 4-kinase type 2 beta /// SEPSECS antisense RNA 1 (head to head)"
"212063_at",0.025920461276264,9.00756770460022e-06,-5.28989926622025,3.55164951771727,-0.777324945155252,"BE903880","","CD44","CD44 molecule (Indian blood group)"
"232322_x_at",0.025920461276264,8.9460014168429e-06,-5.29227521710392,3.53353184476033,-0.909346020582015,"D60944","","STARD10","StAR-related lipid transfer (START) domain containing 10"
"224647_at",0.0261459806724856,9.56414473616299e-06,-5.26912875178482,3.49879944296673,-0.62472739854628,"AI766065","","CCNY","cyclin Y"
"219155_at",0.0321933672623079,1.23650793325737e-05,-5.18014058055902,3.25695500256247,-0.883968629059874,"NM_012417","","PITPNC1","phosphatidylinositol transfer protein, cytoplasmic 1"
