"Gene.Symbol","ID","GB_ACC","SPOT_ID","Species.Scientific.Name","Annotation.Date","Sequence.Type","Sequence.Source","Target.Description","Representative.Public.ID","Gene.Title","ENTREZ_GENE_ID","RefSeq.Transcript.ID","Gene.Ontology.Biological.Process","Gene.Ontology.Cellular.Component","Gene.Ontology.Molecular.Function","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID"
"ABCF2","207623_at","NM_005692","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_005692.2 /DB_XREF=gi:10947136 /GEN=ABCF2 /FEA=FLmRNA /CNT=3 /TID=Hs.153612.0 /TIER=FL /STK=0 /UG=Hs.153612 /LL=10061 /DEF=Homo sapiens ATP-binding cassette, sub-family F (GCN20), member 2 (ABCF2), mRNA. /PROD=ATP-binding cassette, sub-family F, member 2 /FL=gb:AL050291.1 gb:NM_005692.2","NM_005692","ATP-binding cassette, sub-family F (GCN20), member 2","10061","NM_005692 /// NM_007189 /// XM_005249931 /// XM_006715824","0006200 // ATP catabolic process // inferred from electronic annotation /// 0006810 // transport // traceable author statement /// 0008152 // metabolic process // inferred from electronic annotation","0005739 // mitochondrion // inferred from electronic annotation /// 0005740 // mitochondrial envelope // traceable author statement /// 0016020 // membrane // inferred from direct assay /// 0043190 // ATP-binding cassette (ABC) transporter complex // traceable author statement","0000166 // nucleotide binding // inferred from electronic annotation /// 0005215 // transporter activity // traceable author statement /// 0005524 // ATP binding // inferred from electronic annotation /// 0016887 // ATPase activity // inferred from electronic annotation /// 0017111 // nucleoside-triphosphatase activity // inferred from electronic annotation",-1.04601657498774,6.52353673040796,-4.75754091078253,4.17771537192935e-05,0.0442635642238121,2.12904486800129,"10061"
"ARHGAP24","230802_at","AI761947","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI761947 /DB_XREF=gi:5177614 /DB_XREF=wh50b09.x1 /CLONE=IMAGE:2384153 /FEA=EST /CNT=11 /TID=Hs.131587.0 /TIER=Stack /STK=8 /UG=Hs.131587 /UG_TITLE=ESTs, Weakly similar to Y053_HUMAN HYPOTHETICAL PROTEIN KIAA0053 (H.sapiens)","AI761947","Rho GTPase activating protein 24","83478","NM_001025616 /// NM_001042669 /// NM_001287805 /// NM_031305 /// XM_005263263","0001525 // angiogenesis // inferred from electronic annotation /// 0007165 // signal transduction // inferred from electronic annotation /// 0007264 // small GTPase mediated signal transduction // traceable author statement /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation /// 0032863 // activation of Rac GTPase activity // inferred from electronic annotation /// 0035021 // negative regulation of Rac protein signal transduction // inferred from electronic annotation /// 0035313 // wound healing, spreading of epidermal cells // inferred from electronic annotation /// 0051056 // regulation of small GTPase mediated signal transduction // traceable author statement /// 1900028 // negative regulation of ruffle assembly // inferred from electronic annotation","0005622 // intracellular // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005829 // cytosol // traceable author statement /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005912 // adherens junction // inferred from electronic annotation /// 0005925 // focal adhesion // inferred from electronic annotation /// 0030054 // cell junction // inferred from electronic annotation /// 0042995 // cell projection // inferred from electronic annotation","0005096 // GTPase activator activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0030675 // Rac GTPase activator activity // inferred from electronic annotation",-1.66717743628445,6.32662016016329,-5.61898611605677,3.4857055301762e-06,0.0198348809985557,4.38637370612909,"83478"
"ARL4C","213759_at","N74140","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:N74140 /DB_XREF=gi:1231425 /DB_XREF=za76a05.s1 /CLONE=IMAGE:298448 /FEA=EST /CNT=38 /TID=Hs.111554.1 /TIER=Stack /STK=18 /UG=Hs.111554 /LL=10123 /UG_GENE=ARL7 /UG_TITLE=ADP-ribosylation factor-like 7","N74140","ADP-ribosylation factor-like 4C","10123","NM_001282431 /// NM_005737","0006184 // GTP catabolic process // traceable author statement /// 0007264 // small GTPase mediated signal transduction // inferred from electronic annotation /// 0032456 // endocytic recycling // inferred from direct assay","0005634 // nucleus // traceable author statement /// 0005737 // cytoplasm // inferred from direct assay /// 0005886 // plasma membrane // inferred from direct assay /// 0030175 // filopodium // inferred from electronic annotation","0003924 // GTPase activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0005525 // GTP binding // inferred from electronic annotation /// 0043014 // alpha-tubulin binding // inferred from direct assay",-1.8741678066171,3.34756010526583,-4.62714960612891,6.07268395260745e-05,0.0461144437651129,1.41048229726787,"10123"
"C1GALT1C1","219283_at","NM_014158","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_014158.1 /DB_XREF=gi:7661771 /GEN=HSPC067 /FEA=FLmRNA /CNT=47 /TID=Hs.279938.0 /TIER=FL+Stack /STK=17 /UG=Hs.279938 /LL=29071 /DEF=Homo sapiens HSPC067 protein (HSPC067), mRNA. /PROD=HSPC067 protein /FL=gb:NM_014158.1 gb:AF161552.1","NM_014158","C1GALT1-specific chaperone 1","29071","NM_001011551 /// NM_152692","0006493 // protein O-linked glycosylation // inferred from mutant phenotype /// 0016266 // O-glycan processing // traceable author statement /// 0043687 // post-translational protein modification // traceable author statement /// 0044267 // cellular protein metabolic process // traceable author statement","0000139 // Golgi membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation /// 0070062 // extracellular vesicular exosome // inferred from direct assay","0004653 // polypeptide N-acetylgalactosaminyltransferase activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction",1.31934221207601,8.45024150660264,4.88659306578143,2.88243790463095e-05,0.0411129624000724,2.47361590291931,"29071"
"CAMK2N1","218309_at","NM_018584","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_018584.1 /DB_XREF=gi:8924051 /GEN=PRO1489 /FEA=FLmRNA /CNT=150 /TID=Hs.107767.0 /TIER=FL /STK=1 /UG=Hs.107767 /LL=55450 /DEF=Homo sapiens hypothetical protein PRO1489 (PRO1489), mRNA. /PROD=hypothetical protein PRO1489 /FL=gb:AF116637.1 gb:NM_018584.1","NM_018584","calcium/calmodulin-dependent protein kinase II inhibitor 1","55450","NM_018584","0006469 // negative regulation of protein kinase activity // inferred from electronic annotation","0005886 // plasma membrane // inferred from electronic annotation /// 0014069 // postsynaptic density // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0030054 // cell junction // inferred from electronic annotation /// 0030425 // dendrite // inferred from electronic annotation /// 0043005 // neuron projection // inferred from electronic annotation /// 0043025 // neuronal cell body // inferred from electronic annotation /// 0045202 // synapse // inferred from electronic annotation /// 0045211 // postsynaptic membrane // inferred from electronic annotation","0004860 // protein kinase inhibitor activity // inferred from electronic annotation /// 0008427 // calcium-dependent protein kinase inhibitor activity // inferred from electronic annotation /// 0019901 // protein kinase binding // inferred from electronic annotation",-0.889296347359942,6.05641449651134,-4.58394733888878,6.87213134647411e-05,0.0482541372979867,1.67061204168765,"55450"
"CASP7","207181_s_at","NM_001227","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_001227.1 /DB_XREF=gi:4502580 /GEN=CASP7 /FEA=FLmRNA /CNT=11 /TID=Hs.9216.0 /TIER=FL /STK=0 /UG=Hs.9216 /LL=840 /DEF=Homo sapiens caspase 7, apoptosis-related cysteine protease (CASP7), mRNA. /PROD=caspase 7, apoptosis-related cysteine protease /FL=gb:U67319.1 gb:U67320.1 gb:NM_001227.1 gb:U37448.1 gb:U40281.1","NM_001227","caspase 7, apoptosis-related cysteine peptidase","840","NM_001227 /// NM_001267056 /// NM_001267057 /// NM_001267058 /// NM_033338 /// NM_033339 /// NM_033340 /// XM_006718016 /// XM_006718017 /// XM_006718018 /// XM_006718019","0001836 // release of cytochrome c from mitochondria // inferred from electronic annotation /// 0006508 // proteolysis // inferred from direct assay /// 0006915 // apoptotic process // traceable author statement /// 0006921 // cellular component disassembly involved in execution phase of apoptosis // traceable author statement /// 0007507 // heart development // inferred from electronic annotation /// 0007568 // aging // inferred from electronic annotation /// 0008635 // activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c // traceable author statement /// 0009411 // response to UV // inferred from electronic annotation /// 0016485 // protein processing // inferred from electronic annotation /// 0043525 // positive regulation of neuron apoptotic process // inferred from electronic annotation /// 0097193 // intrinsic apoptotic signaling pathway // traceable author statement /// 0097194 // execution phase of apoptosis // not recorded","0005634 // nucleus // inferred from direct assay /// 0005654 // nucleoplasm // traceable author statement /// 0005737 // cytoplasm // traceable author statement /// 0005829 // cytosol // inferred from direct assay /// 0005829 // cytosol // traceable author statement /// 0043231 // intracellular membrane-bounded organelle // inferred from electronic annotation","0004190 // aspartic-type endopeptidase activity // inferred from electronic annotation /// 0004197 // cysteine-type endopeptidase activity // not recorded /// 0004197 // cysteine-type endopeptidase activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008234 // cysteine-type peptidase activity // traceable author statement /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0097153 // cysteine-type endopeptidase activity involved in apoptotic process // inferred from electronic annotation",0.888733698571288,8.67769077193314,5.55993951236069,4.13246622510171e-06,0.0205402355324942,4.27043997163853,"840"
"CCNY","224647_at","AI766065","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:AI766065 /DB_XREF=gi:5232574 /DB_XREF=wh67e11.x1 /CLONE=IMAGE:2385836 /FEA=EST /CNT=321 /TID=Hs.6820.0 /TIER=Stack /STK=52 /UG=Hs.6820 /UG_TITLE=ESTs, Weakly similar to YOJ1_CAEEL HYPOTHETICAL 63.5 KD PROTEIN ZK353.1 IN CHROMOSOME III (C.elegans)","AI766065","cyclin Y","219771","NM_001282852 /// NM_001282853 /// NM_001282854 /// NM_145012 /// NM_181698 /// XM_005252388 /// XM_006717392","0000079 // regulation of cyclin-dependent protein serine/threonine kinase activity // inferred from electronic annotation /// 0000086 // G2/M transition of mitotic cell cycle // inferred from direct assay /// 0007049 // cell cycle // inferred from electronic annotation /// 0016055 // Wnt signaling pathway // inferred from electronic annotation /// 0045737 // positive regulation of cyclin-dependent protein serine/threonine kinase activity // inferred from direct assay /// 0051301 // cell division // inferred from electronic annotation /// 0060828 // regulation of canonical Wnt signaling pathway // inferred from direct assay","0000308 // cytoplasmic cyclin-dependent protein kinase holoenzyme complex // inferred from direct assay /// 0005634 // nucleus // inferred from direct assay /// 0005886 // plasma membrane // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0070062 // extracellular vesicular exosome // inferred from direct assay","0005515 // protein binding // inferred from physical interaction /// 0016538 // cyclin-dependent protein serine/threonine kinase regulator activity // inferred from direct assay /// 0019901 // protein kinase binding // inferred from electronic annotation",-0.62472739854628,9.69867745732732,-5.26912875178482,9.56414473616299e-06,0.0261459806724856,3.49879944296673,"219771"
"CD160","207840_at","NM_007053","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_007053.1 /DB_XREF=gi:5901909 /GEN=BY55 /FEA=FLmRNA /CNT=4 /TID=Hs.81743.0 /TIER=FL /STK=2 /UG=Hs.81743 /LL=11126 /DEF=Homo sapiens natural killer cell receptor, immunoglobulin superfamily member (BY55), mRNA. /PROD=natural killer cell receptor, immunoglobulinsuperfamily member /FL=gb:NM_007053.1 gb:AF060981.1","NM_007053","CD160 molecule","11126","NM_007053 /// NR_103845 /// XM_005272929 /// XM_005272930","0006968 // cellular defense response // traceable author statement /// 0007166 // cell surface receptor signaling pathway // traceable author statement /// 0008283 // cell proliferation // traceable author statement /// 0050776 // regulation of immune response // traceable author statement /// 0050829 // defense response to Gram-negative bacterium // inferred from electronic annotation","0005886 // plasma membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation /// 0031225 // anchored component of membrane // inferred from electronic annotation /// 0046658 // anchored component of plasma membrane // inferred from direct assay","0004872 // receptor activity // traceable author statement /// 0005102 // receptor binding // inferred from direct assay /// 0032393 // MHC class I receptor activity // inferred from direct assay",-1.40599080384844,9.03664555575313,-4.96551830720119,2.29633241281165e-05,0.0392349920845241,2.68233152548823,"11126"
"CD38","205692_s_at","NM_001775","","Homo sapiens","Oct 6, 2014","Exemplar sequence","GenBank","gb:NM_001775.1 /DB_XREF=gi:4502664 /GEN=CD38 /FEA=FLmRNA /CNT=34 /TID=Hs.66052.0 /TIER=FL+Stack /STK=8 /UG=Hs.66052 /LL=952 /DEF=Homo sapiens CD38 antigen (p45) (CD38), mRNA. /PROD=CD38 antigen (p45) /FL=gb:NM_001775.1 gb:D84276.1 gb:M34461.1","NM_001775","CD38 molecule","952","NM_001775 /// XR_241678","0001666 // response to hypoxia // inferred from electronic annotation /// 0007165 // signal transduction // non-traceable author statement /// 0007204 // positive regulation of cytosolic calcium ion concentration // inferred from electronic annotation /// 0007565 // female pregnancy // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0009725 // response to hormone // inferred from electronic annotation /// 0030307 // positive regulation of cell growth // inferred from electronic annotation /// 0030890 // positive regulation of B cell proliferation // inferred from mutant phenotype /// 0032024 // positive regulation of insulin secretion // inferred from electronic annotation /// 0032355 // response to estradiol // inferred from electronic annotation /// 0032526 // response to retinoic acid // inferred from electronic annotation /// 0032570 // response to progesterone // inferred from electronic annotation /// 0033194 // response to hydroperoxide // inferred from electronic annotation /// 0034097 // response to cytokine // inferred from electronic annotation /// 0042493 // response to drug // inferred from mutant phenotype /// 0043066 // negative regulation of apoptotic process // inferred from mutant phenotype /// 0045779 // negative regulation of bone resorption // inferred from electronic annotation /// 0045892 // negative regulation of transcription, DNA-templated // inferred from mutant phenotype /// 0045893 // positive regulation of transcription, DNA-templated // inferred from mutant phenotype /// 0045907 // positive regulation of vasoconstriction // inferred from electronic annotation /// 0050853 // B cell receptor signaling pathway // inferred from mutant phenotype /// 0060292 // long term synaptic depression // inferred from electronic annotation /// 0070555 // response to interleukin-1 // inferred from electronic annotation /// 0097190 // apoptotic signaling pathway // traceable author statement","0005634 // nucleus // inferred from electronic annotation /// 0005886 // plasma membrane // inferred from electronic annotation /// 0009986 // cell surface // inferred from electronic annotation /// 0016020 // membrane // traceable author statement /// 0016021 // integral component of membrane // inferred from electronic annotation /// 0043231 // intracellular membrane-bounded organelle // inferred from electronic annotation","0003953 // NAD+ nucleosidase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016798 // hydrolase activity, acting on glycosyl bonds // inferred from electronic annotation /// 0016849 // phosphorus-oxygen lyase activity // inferred from electronic annotation /// 0050135 // NAD(P)+ nucleosidase activity // inferred from electronic annotation",1.92462000931623,10.6499205385693,4.65609410154233,5.5893717537527e-05,0.0456117762143924,1.85140612085466,"952"
"CD44","212063_at","BE903880","","Homo sapiens","Oct 6, 2014","Consensus sequence","GenBank","gb:BE903880 /DB_XREF=gi:10395551 /DB_XREF=601494678F1 /CLONE=IMAGE:3896970 /FEA=EST /CNT=245 /TID=Hs.323950.2 /TIER=Stack /STK=104 /UG=Hs.323950 /LL=7552 /UG_GENE=ZNF6 /UG_TITLE=zinc finger protein 6 (CMPX1)","BE903880","CD44 molecule (Indian blood group)","960","NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392 /// NM_001202555 /// NM_001202556 /// NM_001202557 /// XM_005253231 /// XM_005253232 /// XM_005253233 /// XM_005253234 /// XM_005253235 /// XM_005253238 /// XM_005253239 /// XM_005253240 /// XM_006718388 /// XM_006718389 /// XM_006718390","0001658 // branching involved in ureteric bud morphogenesis // inferred from electronic annotation /// 0002246 // wound healing involved in inflammatory response // inferred from electronic annotation /// 0005975 // carbohydrate metabolic process // traceable author statement /// 0007155 // cell adhesion // inferred from electronic annotation /// 0007160 // cell-matrix adhesion // non-traceable author statement /// 0007596 // blood coagulation // traceable author statement /// 0010628 // positive regulation of gene expression // inferred from electronic annotation /// 0016055 // Wnt signaling pathway // inferred from electronic annotation /// 0016337 // single organismal cell-cell adhesion // non-traceable author statement /// 0019221 // cytokine-mediated signaling pathway // traceable author statement /// 0022617 // extracellular matrix disassembly // traceable author statement /// 0030198 // extracellular matrix organization // traceable author statement /// 0030203 // glycosaminoglycan metabolic process // traceable author statement /// 0030212 // hyaluronan metabolic process // traceable author statement /// 0030214 // hyaluronan catabolic process // inferred from direct assay /// 0030214 // hyaluronan catabolic process // traceable author statement /// 0033138 // positive regulation of peptidyl-serine phosphorylation // inferred from direct assay /// 0034116 // positive regulation of heterotypic cell-cell adhesion // inferred from mutant phenotype /// 0043066 // negative regulation of apoptotic process // inferred from mutant phenotype /// 0043154 // negative regulation of cysteine-type endopeptidase activity involved in apoptotic process // inferred from mutant phenotype /// 0043518 // negative regulation of DNA damage response, signal transduction by p53 class mediator // inferred from direct assay /// 0044281 // small molecule metabolic process // traceable author statement /// 0044344 // cellular response to fibroblast growth factor stimulus // inferred from direct assay /// 0050731 // positive regulation of peptidyl-tyrosine phosphorylation // inferred from direct assay /// 0050900 // leukocyte migration // traceable author statement /// 0051216 // cartilage development // inferred from expression pattern /// 0060333 // interferon-gamma-mediated signaling pathway // traceable author statement /// 0060442 // branching involved in prostate gland morphogenesis // inferred from electronic annotation /// 0070374 // positive regulation of ERK1 and ERK2 cascade // inferred from direct assay /// 0070487 // monocyte aggregation // inferred from mutant phenotype /// 1900625 // positive regulation of monocyte aggregation // inferred from mutant phenotype /// 1902166 // negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator // inferred from direct assay","0005737 // cytoplasm // inferred from direct assay /// 0005794 // Golgi apparatus // inferred from direct assay /// 0005886 // plasma membrane // inferred from direct assay /// 0005886 // plasma membrane // traceable author statement /// 0005887 // integral component of plasma membrane // non-traceable author statement /// 0009897 // external side of plasma membrane // inferred from electronic annotation /// 0009986 // cell surface // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral component of membrane // inferred from electronic annotation /// 0016323 // basolateral plasma membrane // inferred from electronic annotation /// 0070062 // extracellular vesicular exosome // inferred from direct assay","0004415 // hyalurononglucosaminidase activity // inferred from direct assay /// 0004888 // transmembrane signaling receptor activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0005518 // collagen binding // non-traceable author statement /// 0005540 // hyaluronic acid binding // inferred from direct assay /// 0005540 // hyaluronic acid binding // non-traceable author statement",-0.777324945155252,11.1527741894393,-5.28989926622025,9.00756770460022e-06,0.025920461276264,3.55164951771727,"960"
